C,Scientific Name,Common Name,Family,native
3,Chamaesyce conferta,Everglades Key Sandmat,Euphorbiaceae,native
6,Chamaesyce cumulicola,Coastal Dune Sandmat; Sanddune Spurge,Euphorbiaceae,native
6,Chamaesyce deltoidea,Wedge Sandmat; Rockland Spurge,Euphorbiaceae,native
10,Chamaesyce deltoidea subsp. pinetorum,Pineland Sandmat,Euphorbiaceae,native
9,Chamaesyce garberi,Garber's Sandmat; Garber's Spurge,Euphorbiaceae,native
0,Chamaesyce hirta,Pillpod Sandmat,Euphorbiaceae,native
1,Chamaesyce hypericifolia,Graceful Sandmat,Euphorbiaceae,native
1,Chamaesyce hyssopifolia,Hyssopleaf Sandmat,Euphorbiaceae,native
0,Chamaesyce maculata,Spotted Sandmat,Euphorbiaceae,native
5,Chamaesyce mesembrianthemifolia,Coastal Beach Sandmat,Euphorbiaceae,native
1,Chamaesyce ophthalmica,Florida Hammock Sandmat,Euphorbiaceae,native
9,Chamaesyce pergamena,Southern Florida Sandmat; Rocklands Spurge,Euphorbiaceae,native
10,Chamaesyce porteriana,Porter's Sandmat; Porter's Spurge,Euphorbiaceae,native
0,Chamaesyce prostrata,Prostrate Sandmat,Euphorbiaceae,native
8,Chapmannia floridana,Florida Alicia,Fabaceae,native
7,Chaptalia albicans,White Sunbonnets,Asteraceae,native
7,Chaptalia tomentosa,Woolly Sunbonnets; Pineland Daisy,Asteraceae,native
9,Chasmanthium nitidum,Shiny Woodoats,Poaceae,native
10,Cheilanthes microphylla,Southern Lip Fern,Pteridaceae,native
0,Chenopodium berlandieri,Pitseed Goosefoot,Amaranthaceae,native
4,Chiococca alba,Snowberry; Milkberry,Rubiaceae,native
7,Chiococca pinetorum,,Rubiaceae,native
6,Chloris elata,Tall Windmillgrass; Manyspike Fingergrass,Poaceae,native
9,Chromolaena frustrata,Cape Sable Thoroughwort,Asteraceae,native
3,Chromolaena odorata,Jack-In-The-Bush,Asteraceae,native
4,Chrysobalanus icaco,Coco Plum,Chrysobalanaceae,native
9,Chrysophyllum oliviforme,Satinleaf,Sapotaceae,native
7,Chrysopogon pauciflorus,Florida False Beardgrass,Poaceae,native
9,Chrysopsis linearifolia subsp. dressii,Dress' Goldenaster,Asteraceae,native
5,Chrysopsis mariana,Maryland Goldenaster,Asteraceae,native
4,Chrysopsis scabrella,Coastalplain Goldenaster,Asteraceae,native
5,Chrysopsis subulata,Scrubland Goldenaster,Asteraceae,native
6,Cicuta maculata,Spotted Water Hemlock,Apiaceae,native
4,Cirsium horridulum,Purple Thistle,Asteraceae,native
0,Cirsium nuttallii,Nuttall's Thistle,Asteraceae,native
9,Cissampelos pareira,Pereira Brava,Menispermaceae,native
4,Cissus trifoliata,Sorrelvine; Marinevine,Vitaceae,native
2,Cissus verticillata,Seasonvine; Possum Grape,Vitaceae,native
8,Citharexylum spinosum,Florida Fiddlewood,Verbenaceae,native
5,Cladium jamaicense,Jamaica Swamp Sawgrass,Cyperaceae,native
6,Clematis baldwinii,Pine-Hyacinth,Ranunculaceae,native
5,Clitoria mariana,Atlantic Pigeonwings,Fabaceae,native
7,Cnidoscolus stimulosus,Tread-Softly; Finger-Rot,Euphorbiaceae,native
9,Coccoloba diversifolia,Tietongue; Pigeon Plum,Polygonaceae,native
4,Coccoloba uvifera,Seagrape,Polygonaceae,native
9,Coccothrinax argentata,Florida Silver Palm,Arecaceae,native
8,Coelorachis cylindrica,Carolina Jointtailgrass,Poaceae,native
7,Coelorachis rugosa,Wrinkled Jointtailgrass,Poaceae,native
8,Coelorachis tuberculosa,Florida Jointtailgrass; Piedmont Jointgrass,Poaceae,native
4,Colubrina arborescens,Greenheart,Rhamnaceae,native
8,Colubrina cubensis var. floridana,Cuban Nakedwood,Rhamnaceae,native
7,Colubrina elliptica,Soldierwood,Rhamnaceae,native
6,Commelina erecta,Whitemouth Dayflower,Commelinaceae,native
4,Conocarpus erectus,Buttonwood,Combretaceae,native
5,Conoclinium coelestinum,Blue Mistflower,Asteraceae,native
9,Conopholis americana,American Squawroot; Cancerroot,Orobanchaceae,native
8,Conradina grandiflora,Largeflower False Rosemary,Lamiaceae,native
1,Conyza canadensis var. pusilla,Dwarf Canadian Horseweed,Euphorbiaceae,native
8,Corallorhiza wisteriana,Spring Coralroot,Orchidaceae,native
2,Corchorus hirtus,Red Jute,Malvaceae,native
1,Corchorus siliquosus,Slippery Burr,Asteraceae,native
10,Cordia bahamensis,Bahama Manjack,Boraginaceae,native
7,Cordia globosa,Curacao Bush,Boraginaceae,native
8,Coreopsis floridana,Florida Tickseed,Asteraceae,native
4,Coreopsis leavenworthii,Leavenworth's Tickseed,Asteraceae,native
7,Cornus foemina,Swamp Dogwood; Stiff Dogwood,Cornaceae,native
10,Cranichis muscosa,Cypressknee Helmet Orchid; Moss Orchid,Orchidaceae,native
8,Crinum americanum,Seven-Sisters; String-Lily,Amaryllidaceae,native
10,Crossopetalum ilicifolium,Christmasberry,Celastraceae,native
9,Crossopetalum rhacoma,Maidenberry; Rhacoma,Celastraceae,native
4,Crotalaria pumila,Low Rattlebox,Fabaceae,native
7,Crotalaria rotundifolia,Rabbitbells,Fabaceae,native
3,Croton glandulosus,Vente Conmigo,Euphorbiaceae,native
8,Croton glandulosus var. floridanus,Vente Conmigo,Euphorbiaceae,native
9,Croton humilis,Pepperbush,Euphorbiaceae,native
8,Croton linearis,Pineland Croton; Grannybush,Euphorbiaceae,native
9,Croton lobatus,Lobed Croton,Euphorbiaceae,native
6,Croton michauxii,Rushfoil; Michaux's Croton,Euphorbiaceae,native
9,Croton punctatus,Gulf Croton; Beach Tea,Euphorbiaceae,native
9,Ctenitis sloanei,Florida Tree Fern; Red-Hair Comb Fern,Dryopteridaceae,native
10,Ctenitis submarginalis,Brown-Hair Comb Fern,Dryopteridaceae,native
9,Ctenium aromaticum,Toothachegrass,Poaceae,native
5,Cucurbita okeechobeensis,Okeechobee Gourd,Cucurbitaceae,native
2,Cuscuta pentagona,Fiveangled Dodder,Convolvulaceae,native
6,Cuscuta umbellata,Flatglobe Dodder,Convolvulaceae,native
5,Cynanchum angustifolium,Gulf Coast Swallowwort,Apocynaceae,native
10,Cynanchum blodgettii,Blodgett's Swallowwort,Apocynaceae,native
8,Cynanchum northropiae,Fragrant Swallowwort,Apocynaceae,native
5,Cynanchum scoparium,Leafless Swallowwort,Apocynaceae,native
2,Cyperus articulatus,Jointed Flatsedge,Cyperaceae,native
2,Cyperus compressus,Poorland Flatsedge,Cyperaceae,native
2,Cyperus croceus,Baldwin's Flatsedge,Cyperaceae,native
6,Cyperus cuspidatus,Coastalplain Flatsedge,Cyperaceae,native
4,Cyperus distinctus,Swamp Flatsedge,Cyperaceae,native
6,Cyperus elegans,Royal Flatsedge,Cyperaceae,native
5,Cyperus erythrorhizos,Redroot Flatsedge,Cyperaceae,native
7,Cyperus filiculmis,Wiry Flatsedge,Cyperaceae,native
5,Cyperus filiformis,Wiry Flatsedge; Florida Flatsedge,Cyperaceae,native
6,Cyperus flavescens,Yellow Flatsedge,Cyperaceae,native
3,Cyperus haspan,Haspan Flatsedge,Cyperaceae,native
3,Cyperus ligularis,Swamp Flatsedge,Cyperaceae,native
3,Cyperus odoratus,Fragrant Flatsedge,Cyperaceae,native
9,Cyperus pedunculatus,Beachstar,Cyperaceae,native
2,Cyperus planifolius,Flatleaf Flatsedge,Cyperaceae,native
3,Cyperus polystachyos,Manyspike Flatsedge,Cyperaceae,native
3,Cyperus retrorsus,Pinebarren Flatsedge,Cyperaceae,native
0,Cyperus squarrosus,Bearded Flatsedge,Cyperaceae,native
5,Cyperus strigosus,Strawcolored Flatsedge,Cyperaceae,native
2,Cyperus surinamensis,Tropical Flatsedge,Cyperaceae,native
9,Cyperus tetragonus,Fourangle Flatsedge,Cyperaceae,native
10,Cyrtopodium punctatum,Cowhorn Orchid; Cigar Orchid,Orchidaceae,native
5,Dalbergia brownei,Browne's Indian Rosewood,Fabaceae,native
4,Dalbergia ecastaphyllum,Coinvine,Fabaceae,native
8,Dalea carnea,Whitetassels,Fabaceae,native
5,Dalea carthagenensis var. floridana,Florida Prairieclover,Fabaceae,native
7,Dalea feayi,Feay's Prairieclover,Fabaceae,native
3,Dalea pinnata,Summer Farewell,Fabaceae,native
8,Dalea pinnata var. adenopoda,Summer Farewell,Fabaceae,native
0,Datura stramonium,Jimsonweed,Solanaceae,native
7,Deeringothamnus rugelii var. pulchellus,Pretty False Pawpaw; Royal False Pawpaw,Annonaceae,native
10,Dendrophylax lindenii,Ghost Orchid; Palmpolly,Orchidaceae,native
0,Descurainia pinnata,Western Tansymustard,Brassicaceae,native
8,Desmodium floridanum,Florida Ticktrefoil,Fabaceae,native
10,Desmodium lineatum,Sand Ticktrefoil,Fabaceae,native
9,Desmodium marilandicum,Smooth Ticktrefoil,Fabaceae,native
3,Desmodium paniculatum,Panicled Ticktrefoil,Fabaceae,native
10,Desmodium strictum,Pinebarren Ticktrefoil,Fabaceae,native
7,Dichanthelium aciculare,Needleleaf Witchgrass,Poaceae,native
7,Dichanthelium commutatum,Variable Witchgrass,Poaceae,native
6,Dichanthelium dichotomum,Cypress Witchgrass,Poaceae,native
6,Dichanthelium ensifolium,Cypress Witchgrass,Poaceae,native
6,Dichanthelium ensifolium var. breve,Dwarf Cypress Witchgrass,Poaceae,native
6,Dichanthelium ensifolium var. unciphyllum,Cypress Witchgrass,Poaceae,native
7,Dichanthelium erectifolium,Erectleaf Witchgrass,Poaceae,native
6,Dichanthelium laxiflorum,Openflower Witchgrass,Poaceae,native
6,Dichanthelium leucothrix,Rough Witchgrass,Poaceae,native
7,Dichanthelium ovale,Eggleaf Witchgrass,Poaceae,native
7,Dichanthelium portoricense,Hemlock Witchgrass,Poaceae,native
6,Dichanthelium strigosum var. glabrescens,Roughhair Witchgrass,Poaceae,native
2,Dichondra carolinensis,Carolina Ponysfoot,Convolvulaceae,native
4,Dicliptera sexangularis,Sixangle Foldwing,Acanthaceae,native
0,Dicranopteris flexuosa,Drooping Forked Fern,Gleicheniaceae,native
0,Digitaria ciliaris,Southern Crabgrass,Poaceae,native
7,Digitaria filiformis,Slender Crabgrass; Shaggy Crabgrass,Poaceae,native
8,Digitaria filiformis var. dolichophylla,Caribbean Crabgrass,Poaceae,native
0,Digitaria horizontalis,Jamaican Crabgrass,Poaceae,native
0,Digitaria insularis,Sourgrass,Poaceae,native
9,Digitaria pauciflora,Twospike Crabgrass;Everglades Crabgrass,Poaceae,native
1,Digitaria serotina,Blanket Crabgrass; Dwarf Crabgrass,Malvaceae,native
5,Diodia teres,Poor Joe; Rough Buttonweed,Rubiaceae,native
2,Diodia virginiana,Virginia Buttonweed,Rubiaceae,native
4,Diospyros virginiana,Common Persimmon,Ebenaceae,native
8,Distichlis spicata,Saltgrass,Poaceae,native
5,Dodonaea elaeagnoides,Smallfruit Varnishleaf; Keys Hopebush,Sapindaceae,native
4,Dodonaea viscosa,Varnishleaf; Florida Hopbush,Sapindaceae,native
9,Drosera brevifolia,Dwarf Sundew,Droseraceae,native
7,Drosera capillaris,Pink Sundew,Droseraceae,native
1,Drymaria cordata,Drymary; West Indian Chickweed,Poaceae,native
10,Drypetes diversifolia,Whitewood; Milkbark,Euphorbiaceae,native
10,Drypetes lateriflora,Guiana Plum,Euphorbiaceae,native
8,Dyschoriste angusta,Pineland Twinflower; Pineland Snakeherb,Acanthaceae,native
8,Dyschoriste oblongifolia,Oblongleaf Snakeherb,Acanthaceae,native
6,Echinochloa paludigena,Florida Cockspur,Poaceae,native
1,Echinochloa walteri,Coast Cockspur,Caryophyllaceae,native
10,Echinodorus berteroi,Upright Burrhead,Alismataceae,native
6,Echites umbellata,Devil's Potato; Rubbervine,Apocynaceae,native
1,Eclipta prostrata,False Daisy,Poaceae,native
5,Eleocharis albida,White Spikerush,Cyperaceae,native
3,Eleocharis baldwinii,Baldwin's Spikerush; Roadgrass,Cyperaceae,native
4,Eleocharis cellulosa,Gulf Coast Spikerush,Cyperaceae,native
8,Eleocharis elongata,Slim Spikerush,Cyperaceae,native
6,Eleocharis flavescens,Yellow Spikerush; Pale Spikerush,Cyperaceae,native
3,Eleocharis geniculata,Canada Spikerush,Cyperaceae,native
